"reactdt","roads","mstfmds","mastfrm","thrdtds","thrgrds","pkqtycd","thercls","excdgds","roacd","orgbkfg","metsize","deaclds","therdtl","pksize","manfnme","maintin","thergrp","excldrg","deactdt","prodcat","orgbkcd","ndcnum","prodnme","orgbkds","generid","thrclds","strngth","gnindds","prdctds","deaclas","gennme","maintds","actind","siglsrc","genind","desidrg","gennme2","methadone"
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000030.0000 ML","Schedule II",2808080040,1,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,5,"AA","00054355344","METHADONE HCL INTENSOL","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource generic","Rx-only/Branded-Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
2009-06-08,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000946.0000 ML","Schedule II",2808080040,1,"ROXANE LABORATORIES, INC.",2,8,0,2011-08-26,2,"AA","00054355367","METHADONE HCL","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
2009-05-14,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000946.0000 ML","Schedule II",2808080040,1,"ROXANE LABORATORIES, INC.",2,8,0,2011-08-26,2,"AA","00054355467","METHADONE HCL","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000500.0000 ML","Schedule II",2808080040,1,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"NR","00054355563","METHADONE HCL","Not Rated",102398,"Analg/Antipyr, Opiate Agonists","5 MG/5 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000500.0000 ML","Schedule II",2808080040,1,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"NR","00054355663","METHADONE HCL","Not Rated",102393,"Analg/Antipyr, Opiate Agonists","10 MG/5 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","Y","EA 00100","Schedule II",2808080040,100,"ROXANE LABORATORIES, INC.",2,8,0,2002-11-05,1,"AA","00054421625","DOLOPHINE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","N","N",3,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","Y","EA 00100","Schedule II",2808080040,100,"ROXANE LABORATORIES, INC.",2,8,0,NA,1,"AA","00054421725","DOLOPHINE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","U","N",3,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","Y","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,1,"AA","00054421825","DOLOPHINE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",3,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","Y","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,1,"AA","00054421925","DOLOPHINE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",3,"N","methadone hydrochloride",1
2009-04-27,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","Y","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,2001-10-08,1,"AA","00054453825","DISKETS DISPERSIBLE","No BioEq Prob In Std Dose Form",102396,"Analg/Antipyr, Opiate Agonists","40 MG","Multisource brand, no generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",2,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","Y","EA 00100","Schedule II",2808080040,100,"ROXANE LABORATORIES, INC.",2,8,0,2002-06-06,2,"AA","00054454725","METHADONE HCL","No BioEq Prob In Std Dose Form",102396,"Analg/Antipyr, Opiate Agonists","40 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054457025","METHADONE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054457125","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"ROXANE LABORATORIES, INC.",2,8,0,1998-10-23,2,"AA","00054854725","METHADONE HCL","No BioEq Prob In Std Dose Form",102396,"Analg/Antipyr, Opiate Agonists","40 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
NA,"","Solution","SOL","Methadone","Central Nervous System","EA",60,"","","N","00005.0000 ML","Schedule II",2808080040,0,"ROXANE LABORATORIES, INC.",2,8,0,NA,2,"NR","00054854816","METHADONE HCL","Not Rated",999999,"Analg/Antipyr, Opiate Agonists","5 MG/5 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","U","N",4,"N","methadone hydrochloride",1
NA,"","Solution","SOL","Methadone","Central Nervous System","EA",60,"","","N","00010.0000 ML","Schedule II",2808080040,0,"ROXANE LABORATORIES, INC.",2,8,0,NA,2,"AA","00054854916","METHADONE HCL","No BioEq Prob In Std Dose Form",999999,"Analg/Antipyr, Opiate Agonists","10 MG/10 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","U","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054855324","METHADONE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"HIKMA PHARMACEUTICALS USA INC.",2,8,0,NA,2,"AA","00054855424","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Route Not Applicable","Powder","POW","Bulk Compounding Ingredient","Pharmaceutical Aids/Adjuvants","EA",238,"","NA","N","000050.0000 GM","Schedule II",9601010128,1,"ROXANE LABORATORIES, INC.",4,31,0,2001-10-08,11,"NR","00054975085","METHADONE HCL","Not Rated",102391,"Pharmaceutical Aids/Adjuv, NEC","","Other/unavailable","For Compounding",2,"Methadone Hydrochloride","~Missing/Other","N","N",7,"N","methadone hydrochloride",1
NA,"Route Not Applicable","Powder","POW","Bulk Compounding Ingredient","Pharmaceutical Aids/Adjuvants","EA",238,"","NA","N","000100.0000 GM","Schedule II",9601010128,1,"ROXANE LABORATORIES, INC.",4,31,0,2001-10-08,11,"NR","00054975088","METHADONE HCL","Not Rated",102391,"Pharmaceutical Aids/Adjuv, NEC","","Other/unavailable","For Compounding",2,"Methadone Hydrochloride","~Missing/Other","N","N",7,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"MYLAN PHARMACEUTICALS, INC.",2,8,0,2001-03-31,2,"AA","00378326001","METHADONE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"MYLAN PHARMACEUTICALS, INC.",2,8,0,2001-03-31,2,"AA","00378327201","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000960.0000 ML","Schedule II",2808080040,1,"MALLINCKRODT PHARMACEUTICAL DIV.",2,8,0,2000-08-01,1,"AA","00406052705","METHADOSE","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","N","N",3,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","001000.0000 ML","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,1,"AA","00406052710","METHADOSE","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",3,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","015000.0000 ML","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,1,"AA","00406052715","METHADOSE","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",3,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"SPECGX, LLC",2,8,0,NA,1,"AA","00406054034","METHADOSE","No BioEq Prob In Std Dose Form",102396,"Analg/Antipyr, Opiate Agonists","40 MG","Multisource brand, no generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",2,"N","methadone hydrochloride",1
NA,"Route Not Applicable","Powder","POW","Bulk Compounding Ingredient","Pharmaceutical Aids/Adjuvants","EA",238,"","NA","N","000050.0000 GM","Schedule II",9601010128,1,"SPECGX, LLC",4,31,0,NA,11,"NR","00406151056","METHADONE HCL","Not Rated",102391,"Pharmaceutical Aids/Adjuv, NEC","","Other/unavailable","For Compounding",2,"Methadone Hydrochloride","~Missing/Other","Y","N",7,"N","methadone hydrochloride",1
NA,"Route Not Applicable","Powder","POW","Bulk Compounding Ingredient","Pharmaceutical Aids/Adjuvants","EA",238,"","NA","N","000100.0000 GM","Schedule II",9601010128,1,"SPECGX, LLC",4,31,0,NA,11,"NR","00406151057","METHADONE HCL","Not Rated",102391,"Pharmaceutical Aids/Adjuv, NEC","","Other/unavailable","For Compounding",2,"Methadone Hydrochloride","~Missing/Other","Y","N",7,"N","methadone hydrochloride",1
NA,"Route Not Applicable","Powder","POW","Bulk Compounding Ingredient","Pharmaceutical Aids/Adjuvants","EA",238,"","NA","N","000500.0000 GM","Schedule II",9601010128,1,"SPECGX, LLC",4,31,0,NA,11,"NR","00406151059","METHADONE HCL","Not Rated",102391,"Pharmaceutical Aids/Adjuv, NEC","","Other/unavailable","For Compounding",2,"Methadone Hydrochloride","~Missing/Other","Y","N",7,"N","methadone hydrochloride",1
NA,"Oral","Tablet for Suspension","TBS","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"SPECGX, LLC",2,8,0,NA,2,"AA","00406254001","METHADONE HCL","No BioEq Prob In Std Dose Form",123566,"Analg/Antipyr, Opiate Agonists","40 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"MALLINCKRODT PHARMACEUTICAL DIV.",2,8,0,2006-08-01,1,"AA","00406345434","METHADOSE","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","N","N",3,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000030.0000 ML","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,2,"AA","00406412303","METHADONE HCL","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","001000.0000 ML","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,2,"AA","00406412310","METHADONE HCL","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"SPECGX, LLC",2,8,0,NA,2,"AA","00406575501","METHADONE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00001","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,2,"AA","00406575523","METHADONE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"SPECGX, LLC",2,8,0,NA,2,"AA","00406575562","METHADONE HCL","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"SPECGX, LLC",2,8,0,NA,2,"AA","00406577101","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00001","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,2,"AA","00406577123","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"SPECGX, LLC",2,8,0,NA,2,"AA","00406577162","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000500.0000 ML","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,2,"AA","00406622105","METHADONE HCL","No BioEq Prob In Std Dose Form",102393,"Analg/Antipyr, Opiate Agonists","10 MG/5 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000500.0000 ML","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,2,"NR","00406622505","METHADONE HCL","Not Rated",102398,"Analg/Antipyr, Opiate Agonists","5 MG/5 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"MALLINCKRODT PHARMACEUTICAL DIV.",2,8,0,2006-08-01,1,"AA","00406697434","METHADOSE","No BioEq Prob In Std Dose Form",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","N","N",3,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","Y","001000.0000 ML","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,1,"AA","00406872510","METHADOSE","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",3,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","Y","015000.0000 ML","Schedule II",2808080040,1,"SPECGX, LLC",2,8,0,NA,1,"AA","00406872515","METHADOSE","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource brand, generic","Rx-only/Trade or Brand Name",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",3,"N","methadone hydrochloride",1
NA,"Oral","Solution","SOL","Methadone","Central Nervous System","EA",60,"","PO","N","000030.0000 ML","Schedule II",2808080040,1,"LANNETT COMPANY INC.",2,8,0,NA,2,"AA","00527192736","METHADONE HCL","No BioEq Prob In Std Dose Form",102395,"Analg/Antipyr, Opiate Agonists","10 MG/1 ML","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"MAJOR PHARMACEUTICALS",2,8,0,2016-07-13,2,"AA","00904653060","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00100","Schedule II",2808080040,100,"MAJOR PHARMACEUTICALS",2,8,0,NA,2,"AA","00904653061","METHADONE HCL","No BioEq Prob In Std Dose Form",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx-only/Generic",2,"Methadone Hydrochloride","Both acute and chronic","Y","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00112","Schedule II",2808080040,112,"BLENHEIM PHARMACAL, INC.",2,8,0,2010-12-31,10,"NR","10544037702","METHADONE HCL","Not Rated",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx Repackager/non-Innovator",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00028","Schedule II",2808080040,28,"BLENHEIM PHARMACAL, INC.",2,8,0,2010-12-31,10,"NR","10544037728","METHADONE HCL","Not Rated",102397,"Analg/Antipyr, Opiate Agonists","5 MG","Multisource generic","Rx Repackager/non-Innovator",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00112","Schedule II",2808080040,112,"BLENHEIM PHARMACAL, INC.",2,8,0,2010-12-31,10,"NR","10544037802","METHADONE HCL","Not Rated",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx Repackager/non-Innovator",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
NA,"Oral","Tablet","TAB","Methadone","Central Nervous System","EA",60,"","PO","N","EA 00168","Schedule II",2808080040,168,"BLENHEIM PHARMACAL, INC.",2,8,0,2010-12-31,10,"NR","10544037808","METHADONE HCL","Not Rated",102392,"Analg/Antipyr, Opiate Agonists","10 MG","Multisource generic","Rx Repackager/non-Innovator",2,"Methadone Hydrochloride","Both acute and chronic","N","N",4,"N","methadone hydrochloride",1
